week,google_trend
2016-03-06,81
2016-03-13,77
2016-03-20,81
2016-03-27,74
2016-04-03,68
2016-04-10,65
2016-04-17,73
2016-04-24,57
2016-05-01,66
2016-05-08,75
2016-05-15,82
2016-05-22,67
2016-05-29,78
2016-06-05,67
2016-06-12,56
2016-06-19,71
2016-06-26,75
2016-07-03,64
2016-07-10,56
2016-07-17,55
2016-07-24,57
2016-07-31,59
2016-08-07,64
2016-08-14,52
2016-08-21,52
2016-08-28,65
2016-09-04,54
2016-09-11,75
2016-09-18,60
2016-09-25,69
2016-10-02,61
2016-10-09,80
2016-10-16,66
2016-10-23,72
2016-10-30,74
2016-11-06,65
2016-11-13,54
2016-11-20,70
2016-11-27,72
2016-12-04,60
2016-12-11,56
2016-12-18,65
2016-12-25,60
2017-01-01,66
2017-01-08,59
2017-01-15,48
2017-01-22,57
2017-01-29,57
2017-02-05,59
2017-02-12,58
2017-02-19,89
2017-02-26,76
2017-03-05,56
2017-03-12,53
2017-03-19,58
2017-03-26,52
2017-04-02,48
2017-04-09,50
2017-04-16,50
2017-04-23,48
2017-04-30,54
2017-05-07,69
2017-05-14,67
2017-05-21,68
2017-05-28,53
2017-06-04,60
2017-06-11,55
2017-06-18,47
2017-06-25,50
2017-07-02,55
2017-07-09,49
2017-07-16,54
2017-07-23,54
2017-07-30,54
2017-08-06,63
2017-08-13,60
2017-08-20,56
2017-08-27,52
2017-09-03,53
2017-09-10,50
2017-09-17,56
2017-09-24,73
2017-10-01,55
2017-10-08,49
2017-10-15,52
2017-10-22,56
2017-10-29,45
2017-11-05,46
2017-11-12,48
2017-11-19,47
2017-11-26,44
2017-12-03,45
2017-12-10,47
2017-12-17,54
2017-12-24,91
2017-12-31,61
2018-01-07,56
2018-01-14,56
2018-01-21,49
2018-01-28,53
2018-02-04,54
2018-02-11,62
2018-02-18,100
2018-02-25,86
2018-03-04,56
2018-03-11,53
2018-03-18,47
