week,Fate/Grand Order: (日本),LINE:ディズニー ツムツム: (日本),ドラゴンボールZ ドッカンバトル: (日本),パズル&ドラゴンズ: (日本),モンスターストライク: (日本),Pokemon GO: (日本),プリンセスコネクト!: (日本),クイズRPG 魔法使いと黒猫のウィズ: (日本),ファイアーエムブレム: (日本),アイドルマスター シンデレラガールズ スターライトステージ: (日本)
2017-03-12,25,40,19,36,52,39,0,26,77,33
2017-03-19,17,39,17,39,51,46,1,24,81,44
2017-03-26,22,26,13,42,58,43,0,22,78,64
2017-04-02,21,19,12,37,64,36,0,21,69,22
2017-04-09,18,15,12,36,57,40,0,15,73,100
2017-04-16,26,13,12,29,43,39,0,20,91,33
2017-04-23,30,17,20,36,48,28,0,19,100,55
2017-04-30,41,31,19,100,53,32,0,14,81,65
2017-05-07,40,28,18,53,41,27,0,13,58,64
2017-05-14,31,24,15,36,50,31,0,13,60,33
2017-05-21,32,19,12,35,54,28,0,15,47,44
2017-05-28,27,14,13,48,52,22,0,16,45,22
2017-06-04,24,21,9,37,34,24,0,17,41,11
2017-06-11,34,25,9,32,34,32,0,17,42,11
2017-06-18,26,19,11,29,42,57,0,17,34,31
2017-06-25,23,18,10,29,35,39,0,14,35,54
2017-07-02,24,15,12,31,45,36,0,14,33,33
2017-07-09,23,19,11,27,51,28,2,14,33,43
2017-07-16,23,20,10,41,43,40,1,14,31,44
2017-07-23,28,14,16,34,41,100,2,14,30,64
2017-07-30,50,12,29,30,40,64,1,13,26,31
2017-08-06,40,22,27,27,33,66,2,10,30,31
2017-08-13,40,22,19,30,35,72,1,12,31,21
2017-08-20,34,18,19,39,34,48,1,11,26,21
2017-08-27,28,15,15,35,35,55,1,17,41,65
2017-09-03,31,17,12,24,43,55,3,19,45,54
2017-09-10,30,27,10,24,39,43,1,19,45,42
2017-09-17,39,20,12,24,45,49,2,22,45,43
2017-09-24,37,13,12,27,38,59,2,17,59,66
2017-10-01,23,12,10,27,64,43,5,14,53,32
2017-10-08,26,21,12,25,57,36,2,14,43,43
2017-10-15,35,20,10,28,62,39,2,10,45,11
2017-10-22,40,17,12,27,53,32,1,14,37,11
2017-10-29,32,16,15,37,52,33,2,11,34,66
2017-11-05,29,15,11,22,37,31,4,14,31,34
2017-11-12,23,21,24,19,54,25,3,14,34,23
2017-11-19,28,18,26,21,34,43,2,14,29,48
2017-11-26,34,13,18,26,34,46,2,17,34,12
2017-12-03,36,8,15,28,44,40,2,13,37,0
2017-12-10,33,7,15,24,36,49,1,10,33,24
2017-12-17,35,7,17,23,34,48,2,13,35,12
2017-12-24,36,35,22,27,51,39,1,16,36,36
2017-12-31,56,45,17,27,86,35,2,15,41,47
2018-01-07,41,28,17,24,43,32,2,15,34,23
2018-01-14,40,26,12,24,39,33,2,14,32,11
2018-01-21,32,20,13,54,33,33,2,10,33,11
2018-01-28,25,16,53,31,76,27,2,13,35,34
2018-02-04,22,18,80,24,70,34,3,13,39,57
2018-02-11,23,18,68,23,54,39,60,14,38,23
2018-02-18,24,15,40,38,33,39,100,17,40,12
2018-02-25,27,15,27,36,36,31,77,15,37,23
2018-03-04,23,11,24,37,30,30,63,31,33,26
